--- TRADE LOG ---
2017-12-15 09:55:00+05:30 → 2017-12-18 09:50:00+05:30 | SHORT | Entry: ₹10369.35 | Exit: ₹10333.25 | PnL: ₹17.41 | Return: 0.35% | Capital Left: ₹51360.79
2017-12-18 10:30:00+05:30 → 2018-01-08 09:15:00+05:30 | SHORT | Entry: ₹10397.25 | Exit: ₹10607.75 | PnL: ₹-101.23 | Return: -2.02% | Capital Left: ₹51259.56
2018-01-08 09:35:00+05:30 → 2018-01-18 09:15:00+05:30 | SHORT | Entry: ₹10606.4 | Exit: ₹10857.8 | PnL: ₹-118.51 | Return: -2.37% | Capital Left: ₹51141.05
2018-01-18 10:10:00+05:30 → 2018-01-23 09:15:00+05:30 | SHORT | Entry: ₹10866.7 | Exit: ₹11017.5 | PnL: ₹-69.38 | Return: -1.39% | Capital Left: ₹51071.67
2018-01-23 09:50:00+05:30 → 2018-02-06 14:00:00+05:30 | SHORT | Entry: ₹11041.25 | Exit: ₹10521.95 | PnL: ₹235.14 | Return: 4.7% | Capital Left: ₹51306.81
2018-02-06 14:55:00+05:30 → 2018-02-15 12:55:00+05:30 | SHORT | Entry: ₹10533.0 | Exit: ₹10616.75 | PnL: ₹-39.76 | Return: -0.8% | Capital Left: ₹51267.05
2018-02-15 13:15:00+05:30 → 2018-02-19 10:00:00+05:30 | BUY | Entry: ₹10578.9 | Exit: ₹10379.4 | PnL: ₹-94.28 | Return: -1.89% | Capital Left: ₹51172.77
2018-02-19 10:30:00+05:30 → 2018-02-26 09:15:00+05:30 | SHORT | Entry: ₹10410.3 | Exit: ₹10528.7 | PnL: ₹-56.87 | Return: -1.14% | Capital Left: ₹51115.9
2018-02-26 09:35:00+05:30 → 2018-03-12 13:20:00+05:30 | SHORT | Entry: ₹10531.7 | Exit: ₹10351.95 | PnL: ₹85.35 | Return: 1.71% | Capital Left: ₹51201.25
2018-03-12 13:50:00+05:30 → 2018-03-27 09:15:00+05:30 | SHORT | Entry: ₹10359.85 | Exit: ₹10166.95 | PnL: ₹93.09 | Return: 1.86% | Capital Left: ₹51294.34
2018-03-27 09:30:00+05:30 → 2018-04-05 14:45:00+05:30 | SHORT | Entry: ₹10191.15 | Exit: ₹10305.55 | PnL: ₹-56.12 | Return: -1.12% | Capital Left: ₹51238.22
2018-04-05 15:00:00+05:30 → 2018-05-17 10:50:00+05:30 | BUY | Entry: ₹10313.2 | Exit: ₹10704.2 | PnL: ₹189.56 | Return: 3.79% | Capital Left: ₹51427.77
2018-05-17 11:10:00+05:30 → 2018-05-21 14:25:00+05:30 | BUY | Entry: ₹10711.35 | Exit: ₹10508.05 | PnL: ₹-94.9 | Return: -1.9% | Capital Left: ₹51332.87
2018-05-21 15:05:00+05:30 → 2018-06-27 14:10:00+05:30 | BUY | Entry: ₹10514.3 | Exit: ₹10671.15 | PnL: ₹74.58 | Return: 1.49% | Capital Left: ₹51407.45
2018-06-27 14:15:00+05:30 → 2018-09-04 14:25:00+05:30 | BUY | Entry: ₹10670.25 | Exit: ₹11506.9 | PnL: ₹392.05 | Return: 7.84% | Capital Left: ₹51799.51
2018-09-04 14:30:00+05:30 → 2018-09-11 14:05:00+05:30 | BUY | Entry: ₹11501.7 | Exit: ₹11359.1 | PnL: ₹-61.99 | Return: -1.24% | Capital Left: ₹51737.52
2018-09-11 14:35:00+05:30 → 2018-09-14 13:05:00+05:30 | SHORT | Entry: ₹11318.25 | Exit: ₹11481.25 | PnL: ₹-72.01 | Return: -1.44% | Capital Left: ₹51665.51
2018-09-14 13:10:00+05:30 → 2018-09-21 13:10:00+05:30 | SHORT | Entry: ₹11481.7 | Exit: ₹11106.9 | PnL: ₹163.23 | Return: 3.26% | Capital Left: ₹51828.73
2018-09-21 13:50:00+05:30 → 2018-09-24 14:00:00+05:30 | BUY | Entry: ₹11153.05 | Exit: ₹10944.4 | PnL: ₹-93.54 | Return: -1.87% | Capital Left: ₹51735.19
2018-09-24 14:35:00+05:30 → 2018-10-10 10:30:00+05:30 | SHORT | Entry: ₹11001.55 | Exit: ₹10414.8 | PnL: ₹266.68 | Return: 5.33% | Capital Left: ₹52001.87
2018-10-10 10:40:00+05:30 → 2018-10-12 09:15:00+05:30 | SHORT | Entry: ₹10431.5 | Exit: ₹10383.8 | PnL: ₹22.86 | Return: 0.46% | Capital Left: ₹52024.73
2018-10-12 09:25:00+05:30 → 2018-10-17 15:00:00+05:30 | BUY | Entry: ₹10389.3 | Exit: ₹10457.7 | PnL: ₹32.92 | Return: 0.66% | Capital Left: ₹52057.66
2018-10-17 15:15:00+05:30 → 2018-10-22 15:05:00+05:30 | BUY | Entry: ₹10454.0 | Exit: ₹10244.1 | PnL: ₹-100.4 | Return: -2.01% | Capital Left: ₹51957.26
2018-10-23 09:20:00+05:30 → 2018-10-26 09:20:00+05:30 | BUY | Entry: ₹10189.0 | Exit: ₹10046.3 | PnL: ₹-70.02 | Return: -1.4% | Capital Left: ₹51887.24
2018-10-26 09:25:00+05:30 → 2018-11-22 13:40:00+05:30 | BUY | Entry: ₹10041.4 | Exit: ₹10554.4 | PnL: ₹255.42 | Return: 5.11% | Capital Left: ₹52142.66
2018-11-22 13:55:00+05:30 → 2018-12-06 09:20:00+05:30 | BUY | Entry: ₹10568.65 | Exit: ₹10698.5 | PnL: ₹61.43 | Return: 1.23% | Capital Left: ₹52204.09
2018-12-06 09:55:00+05:30 → 2018-12-11 13:05:00+05:30 | SHORT | Entry: ₹10663.8 | Exit: ₹10550.0 | PnL: ₹53.36 | Return: 1.07% | Capital Left: ₹52257.45
2018-12-11 13:10:00+05:30 → 2018-12-21 14:30:00+05:30 | BUY | Entry: ₹10544.65 | Exit: ₹10759.3 | PnL: ₹101.79 | Return: 2.04% | Capital Left: ₹52359.24
2018-12-21 14:40:00+05:30 → 2018-12-26 09:40:00+05:30 | BUY | Entry: ₹10765.25 | Exit: ₹10552.05 | PnL: ₹-99.03 | Return: -1.98% | Capital Left: ₹52260.21
2018-12-26 09:45:00+05:30 → 2018-12-27 09:15:00+05:30 | SHORT | Entry: ₹10556.35 | Exit: ₹10814.4 | PnL: ₹-122.21 | Return: -2.44% | Capital Left: ₹52138.0
2018-12-27 09:50:00+05:30 → 2019-01-09 09:15:00+05:30 | SHORT | Entry: ₹10801.55 | Exit: ₹10853.65 | PnL: ₹-24.12 | Return: -0.48% | Capital Left: ₹52113.88
2019-01-09 09:20:00+05:30 → 2019-01-16 09:20:00+05:30 | SHORT | Entry: ₹10856.5 | Exit: ₹10919.65 | PnL: ₹-29.09 | Return: -0.58% | Capital Left: ₹52084.79
2019-01-16 09:40:00+05:30 → 2019-01-31 13:35:00+05:30 | SHORT | Entry: ₹10918.4 | Exit: ₹10797.95 | PnL: ₹55.15 | Return: 1.1% | Capital Left: ₹52139.95
2019-01-31 13:45:00+05:30 → 2019-02-11 09:25:00+05:30 | BUY | Entry: ₹10804.25 | Exit: ₹10879.75 | PnL: ₹34.94 | Return: 0.7% | Capital Left: ₹52174.89
2019-02-11 09:40:00+05:30 → 2019-02-15 10:10:00+05:30 | BUY | Entry: ₹10890.05 | Exit: ₹10679.4 | PnL: ₹-96.71 | Return: -1.93% | Capital Left: ₹52078.18
2019-02-15 10:45:00+05:30 → 2019-03-25 13:00:00+05:30 | BUY | Entry: ₹10681.85 | Exit: ₹11328.95 | PnL: ₹302.91 | Return: 6.06% | Capital Left: ₹52381.09
2019-03-25 13:15:00+05:30 → 2019-04-23 14:55:00+05:30 | BUY | Entry: ₹11333.85 | Exit: ₹11584.8 | PnL: ₹110.72 | Return: 2.21% | Capital Left: ₹52491.81
2019-04-23 15:20:00+05:30 → 2019-05-07 14:35:00+05:30 | BUY | Entry: ₹11575.85 | Exit: ₹11554.3 | PnL: ₹-9.31 | Return: -0.19% | Capital Left: ₹52482.5
2019-05-07 14:40:00+05:30 → 2019-05-17 12:05:00+05:30 | SHORT | Entry: ₹11555.1 | Exit: ₹11344.65 | PnL: ₹91.06 | Return: 1.82% | Capital Left: ₹52573.56
2019-05-17 12:10:00+05:30 → 2019-05-20 09:15:00+05:30 | SHORT | Entry: ₹11347.9 | Exit: ₹11641.95 | PnL: ₹-129.56 | Return: -2.59% | Capital Left: ₹52444.0
2019-05-20 09:30:00+05:30 → 2019-05-23 12:25:00+05:30 | BUY | Entry: ₹11595.95 | Exit: ₹11793.65 | PnL: ₹85.25 | Return: 1.7% | Capital Left: ₹52529.25
2019-05-23 12:35:00+05:30 → 2019-05-27 09:40:00+05:30 | SHORT | Entry: ₹11800.85 | Exit: ₹11872.0 | PnL: ₹-30.15 | Return: -0.6% | Capital Left: ₹52499.1
2019-05-27 09:55:00+05:30 → 2019-06-03 15:05:00+05:30 | SHORT | Entry: ₹11893.05 | Exit: ₹12082.6 | PnL: ₹-79.69 | Return: -1.59% | Capital Left: ₹52419.42
